lr,epochs,l2_reg,val_loss,sparsity_l1
0.001,5000,0.0,8.42062631520358,2.478044
0.001,2000,0.0,8.420627052133733,2.4780426
0.001,5000,0.0001,8.420627182180231,2.4777832
0.001,2000,0.0001,8.420627702366222,2.4777782
0.001,5000,0.001,8.420634313063188,2.475428
0.001,2000,0.001,8.420634854923595,2.4754229
0.001,1000,0.0,8.420665285804056,2.477968
0.001,1000,0.0001,8.420666001059793,2.4777064
0.001,1000,0.001,8.420672503384678,2.4753528
0.001,5000,0.01,8.420746131376786,2.452516
0.001,2000,0.01,8.420746889981357,2.4525146
0.001,1000,0.01,8.420777624303645,2.4524622
0.001,500,0.0001,8.421057397669012,2.4781084
0.001,500,0.0,8.42105770111084,2.4783695
0.001,500,0.001,8.42105856808749,2.4757688
0.005,1000,0.0,8.421068451621316,2.4581194
0.005,5000,0.0,8.421068625016646,2.4581194
0.005,2000,0.0,8.421068625016646,2.4581194
0.005,500,0.0,8.42106905850497,2.4581163
0.005,2000,0.0001,8.421069513667714,2.4578557
0.005,5000,0.0001,8.421069513667714,2.4578557
0.005,1000,0.0001,8.421069535342129,2.4578557
0.005,500,0.0001,8.421069622039795,2.4578555
0.005,2000,0.001,8.421079310503872,2.4555042
0.005,5000,0.001,8.421079310503872,2.4555042
0.005,1000,0.001,8.42107950557362,2.4555047
0.005,500,0.001,8.421079700643366,2.4555018
0.001,500,0.01,8.42111307924444,2.4529822
0.005,2000,0.01,8.421215902675282,2.4326189
0.005,5000,0.01,8.421215902675282,2.4326189
0.005,1000,0.01,8.42121609774503,2.432619
0.005,500,0.01,8.42121609774503,2.4326153
0.01,1000,0.0,8.42172115499323,2.4331212
0.01,5000,0.0,8.42172122001648,2.433121
0.01,2000,0.0,8.42172122001648,2.433121
0.01,500,0.0,8.421721350062978,2.4331198
0.01,5000,0.0001,8.421722455458207,2.4328594
0.01,2000,0.0001,8.421722455458207,2.4328594
0.01,500,0.0001,8.421722542155873,2.4328582
0.01,1000,0.0001,8.421722563830288,2.4328601
0.01,500,0.001,8.421735069968484,2.4305084
0.01,5000,0.001,8.421735178340565,2.43051
0.01,2000,0.001,8.421735178340565,2.43051
0.01,1000,0.001,8.421735286712646,2.4305096
0.01,2000,0.01,8.421902808276089,2.407654
0.01,5000,0.01,8.421902808276089,2.407654
0.01,1000,0.01,8.421902829950506,2.4076543
0.01,500,0.01,8.421902851624923,2.4076524
0.1,500,0.0,8.453838109970093,2.0521615
0.1,2000,0.0,8.453838911923496,2.0521593
0.1,5000,0.0,8.453838933597911,2.0521593
0.1,1000,0.0,8.453839020295577,2.05216
0.1,500,0.0001,8.453846086155284,2.0518613
0.1,5000,0.0001,8.453846628015691,2.0518587
0.1,1000,0.0001,8.45384669303894,2.0518591
0.1,2000,0.0001,8.453846844759854,2.0518584
0.1,500,0.001,8.453916376287287,2.049177
0.1,1000,0.001,8.453917048194192,2.049174
0.1,5000,0.001,8.453917286612771,2.0491738
0.1,2000,0.001,8.453917286612771,2.049174
0.1,500,0.01,8.454653111371128,2.0229998
0.1,1000,0.01,8.454653609882701,2.022997
0.1,5000,0.01,8.45465367490595,2.0229962
0.1,2000,0.01,8.45465384830128,2.0229964
