type,initialization,eta_min,gain,tol,seed,max_iter,final_loss
Grid,zeros,0.01,1.0,1e-06,23,5000,7.260842800140381
Grid,zeros,0.01,0.0,1e-06,23,5000,7.260842800140381
Grid,zeros,0.1,0.0,1e-05,23,5000,7.2609100341796875
Grid,zeros,0.1,1.0,1e-05,23,5000,7.2609100341796875
Grid,zeros,0.1,0.0,1e-06,23,5000,7.260948181152344
Grid,zeros,0.1,1.0,1e-06,23,5000,7.260948181152344
Grid,zeros,0.01,1.0,1e-05,23,5000,7.261229991912842
Grid,zeros,0.01,0.0,1e-05,23,5000,7.261229991912842
Grid,zeros,0.001,1.0,1e-06,23,5000,7.262220859527588
Grid,zeros,0.001,0.0,1e-06,23,5000,7.262220859527588
Grid,zeros,0.001,0.0,1e-05,23,5000,7.26313591003418
Grid,zeros,0.001,1.0,1e-05,23,5000,7.26313591003418
Grid,zeros,0.01,1.0,0.0001,23,5000,7.265401840209961
Grid,zeros,0.01,0.0,0.0001,23,5000,7.265401840209961
Grid,zeros,0.1,1.0,0.0001,23,5000,7.265977382659912
Grid,zeros,0.1,0.0,0.0001,23,5000,7.265977382659912
Grid,zeros,0.001,1.0,0.0001,23,5000,7.292170524597168
Grid,zeros,0.001,0.0,0.0001,23,5000,7.292170524597168
Legacy (~14 err),random,0.001,0.0,0.0001,23,5000,7.295466423034668
Grid,zeros,0.0005,0.0,0.0001,23,5000,8.306009292602539
Grid,zeros,0.0005,0.0,1e-05,23,5000,8.306009292602539
Grid,zeros,0.0005,0.0,1e-06,23,5000,8.306009292602539
Grid,zeros,0.0005,1.0,0.0001,23,5000,8.306009292602539
Grid,zeros,0.0005,1.0,1e-05,23,5000,8.306009292602539
Grid,zeros,0.0005,1.0,1e-06,23,5000,8.306009292602539
