lr,tol,max_iter,avg_val_error,std_val_error
0.0005,0.0001,5000,2.9652887842597777,0.07813057719457317
0.0005,1e-05,5000,2.9652887842597777,0.07813057719457317
0.0005,1e-06,5000,2.9652887842597777,0.07813057719457317
0.001,0.0001,5000,2.985221130159323,0.05523931165586668
0.1,0.0001,5000,3.019166273080393,0.04731028327342621
0.01,0.0001,5000,3.020781955982758,0.05267292008749705
0.001,1e-05,5000,3.0272204015064865,0.05250497254724588
0.001,1e-06,5000,3.0315802672121803,0.05225436493807159
0.1,1e-05,5000,3.037323263469191,0.06111076923863058
0.01,1e-05,5000,3.0383255592311644,0.05161249823286901
0.01,1e-06,5000,3.0429480184129174,0.051434681140267384
0.1,1e-06,5000,3.0458835479576174,0.05063046900850576
